Artist,Lyrics,Song
Wiz Khalifa ,"  [Charlie Puth:] It's been a long day without you, my friend And I'll tell you all about it when I see you again We've come a long way from where we began Oh, I'll tell you all about it when I see you again When I see you again  [Wiz Khalifa:] Damn, who knew? All the planes we flew, good things we been through That I'd be standing right here talking to you 'Bout another path, I know we loved to hit the road and laugh But something told me that it wouldn't last Had to switch up, look at things different, see the bigger picture Those were the days, hard work forever pays Now I see you in a better place (See you in a better place) Uh  How could we not talk about family when family's all that we got? Everything I went through, you were standing there by my side And now you gon' be with me for the last ride  [Charlie Puth & Wiz Khalifa:] It's been a long day without you, my friend And I'll tell you all about it when I see you again (I'll see you again) We've come a long way (Yeah, we came a long way) from where we began (You know we started) Oh, I'll tell you all about it when I see you again (I'll tell you) When I see you again  [Charlie Puth:] Aah oh, aah oh Wooooh-oh-oh-oh-oh-oh Yeah  [Wiz Khalifa:] First, you both go out your way and the vibe is feeling strong And what's small turned to a friendship, a friendship turned to a bond And that bond will never be broken, the love will never get lost (The love will never get lost) And when brotherhood come first, then the line will never be crossed Established it on our own when that line had to be drawn And that line is what we reached, so remember me when I'm gone (Remember me when I'm gone)  How could we not talk about family when family's all that we got? Everything I went through you were standing there by my side And now you gon' be with me for the last ride  [Charlie Puth:] So let the light guide your way, yeah Hold every memory as you go And every road you take Will always lead you home, home  It's been a long day without you, my friend And I'll tell you all about it when I see you again We've come a long way from where we began Oh, I'll tell you all about it when I see you again When I see you again  [Charlie Puth & Wiz Khalifa:] Aah oh, aah oh (Uh) Yeah (Yeah) Wooooh-oh-oh-oh-oh-oh (Yo) When I see you again (Yo, uh) See you again (Yo, yo) Oh-oh (Uh-huh) (Yup) When I see you again ",See You Again 
Charlie Puth ,"   Don't run from me river Don't run from me river river No don't run from me river Don't run from me river river  Look, you can play it cool Act like you don't care River don't be cruel You're pushing me away Don't want to get hurt So you hurt me first With the words you say  Maybe you should fall That's what rivers do 'cause when you're in love You don't mind a different view Things are looking up  Oh river (river, river) Don't run (run, run) Don't run (river, river) Don't run (run, run) Oh river (river, river) Don't run (run, run) Don't run (river, river) From our love (run, run)  Look, darling don't give up When the water's rough Where you gonna go? My heart is your home Nothing is as cold As running on your own So river don't you rush  Maybe you should fall That's what rivers do 'cause when you're in love You don't mind a different view Things are looking up  Oh river (river, river) Don't run (run, run) Don't run (river, river) Don't run (run, run) Oh river (river, river) Don't run (run, run) Don't run (river, river) From our love (run, run)  Don't run from me river Don't run from me river, river No don't run from me river Don't run from me river, river No don't run from me river Don't run from me river, river No don't run from me river  Maybe you should fall That's what rivers do 'cause when you're in love You don't mind a different view Things are looking up  Oh river (river, river) Don't run (run, run) Don't run (river, river) Don't run (run, run) Oh river (river, river) Don't run (run, run) Don't run (river, river) From our love (run, run)  Oh river (river, river) (Don't run from me river) Don't run (run, run) (Don't run from me river, river) Don't run (river, river) (No don't run from me river) Don't run (run, run) (Don't run from me river, river) Oh river (river, river) (Don't run from me river) Don't run (run, run) (Don't run from me river, river) Don't run (river, river) (No don't run from me river) From our love (run, run) (Don't run from me river, river) No ",River 
Charlie Puth ,"   Tell me lies, like how you're better off without me While the truth is written all over your face Even in photographs together you look lonely, lonely When you were here, you never had to fake  And girl I promise I'm not gonna bother you anymore Soon as you hang up the phone I just got one question that you might not be ready for But I really gotta know  Does it feel, feel like you're never gon' find nothing better? Does it feel, feel like you're missing, 'cause I loved you different?  And the way that you can say you don't remember How I kept you coming over every night And the way that you can say you never wondered, wondered If loving someone else is just a lie  Whoa, girl I promise I'm not gonna bother you anymore Soon as you hang up the phone (Don't hang up the phone) I just got one question that you might not be ready for But I really gotta know  Does it feel, feel like you're never gon' find nothing better? Does it feel, feel like you're missing, 'cause I loved you different? Does it feel, feel like you're never gon' find nothing better? Does it feel, feel like you're missing, 'cause I loved you different?  And girl, I promise I'm not gonna bother you anymore Soon as you hang up the phone I just got one question that you might not be ready for But I really gotta know  Does it feel, feel like you're never gon' find nothing better? Does it feel, feel like you're missing, 'cause I loved you different? Does it feel, feel like you're never gon' find nothing better? Does it feel, feel like you're missing, 'cause I loved you different? ",Does It Feel 
Charlie Puth ,"   Maybe Imma get a little anxious Maybe Imma get a little shy Cuz everybody's trying to be famous And I'm just trying to find a place to hide  All I wanna do is just hold somebody But no one ever wants to get to know somebody I don't even know how to explain this I don't even think I'm gonna try  And that's OK I promise myself one day  Imma tell em' all Imma tell em' all that You could either hate me or love me But that's just the way I am Imma tell em' all Imma tell em' all that You could either hate me or love me But that's just the way I am  That's just the way I am That's just the way I am That's just the way I am That's just the way I am  Maybe Imma get a little nervous Maybe I don't go out anymore Feeling like I really don't deserve this Life ain't nothing like it was before  Cuz all I wanna do is just hold somebody But no one ever wants to get to know somebody If you go and look under the surface Baby I'm a little insecure  And that's OK I promise myself one day  Imma tell em' all Imma tell em' all that You could either hate me or love me But that's just the way I am Imma tell em' all Imma tell em' all that You could either hate me (hate me) or love me (love me) But that's just the way I am  That's just the way I am (I am) That's just the way I am (I am) That's just the way I am That's just the way I am  Imma tell em' all Imma tell em' all that You could either hate me (hate me) or love me (love me) But that's just the way I am, am, a-a-a-a-am Yeah, this is what you wanted Oh, this is what you wanted I am, am, a-a-a-a-am Yeah, this is what you wanted Oh, this is what you wanted all along  Everybody's trying to be famous And I'm just trying to find a place to hide  Imma tell em' all Imma tell em' all that You could either hate me or love me But that's just the way I am Imma tell em' all Imma tell em' all that You could either hate me (hate me) or love me (love me) But that's just the way I am  That's just the way I am (Maybe Imma get a little anxious) That's just the way I am (Maybe Imma get a little scared) That's just the way I am (Cuz everybody's trying to be famous) That's just the way I am  Imma tell em' all (That's just the way I am) Imma tell em' all that (That's just the way I am) You could either hate me or love me (That's just the way I am) But that's just the way I am ",The Way I Am 
Charlie Puth ,"   Whoa oh oh hm  You've been runnin' 'round, runnin' 'round, runnin' 'round throwin' that dirt all on my name 'Cause you knew that I, knew that I, knew that I'd call you up You've been going 'round, going 'round, going 'round every party in LA 'Cause you knew that I, knew that I, knew that I'd be at one, oh  I know that dress is karma, perfume regret You got me thinking 'bout when you were mine, oh And now I'm all up on ya, what you expect? But you're not coming home with me tonight  You just want attention You don't want my heart Maybe you just hate the thought of me with someone new Yeah, you just want attention I knew from the start You're just making sure I'm never gettin' over you, oh  You've been runnin' round, runnin' round, runnin' round throwing that dirt all on my name 'Cause you knew that I, knew that I, knew that I'd call you up Baby, now that we're, now that we're, now that we're right here standing face to face You already know, 'ready know, 'ready know that you won, oh  I know that dress is karma (dress is karma), perfume regret, yeah You got me thinking 'bout when you were mine, oh (You got me thinking 'bout when you were mine) And now I'm all up on ya (all up on ya), what you expect? (Oh, baby) But you're not coming home with me tonight, oh no  You just want attention You don't want my heart Maybe you just hate the thought of me with someone new, someone new Yeah, you just want attention, oh I knew from the start, the start You're just making sure I'm never gettin' over you, over you, oh  What are you doin' to me? What are you doin', huh? (What are you doin'?) What are you doin' to me? What are you doin', huh? (What are you doin'?) What are you doin' to me? What are you doin', huh? (What are you doin'?) What are you doin' to me? What are you doin', huh?  I know that dress is karma, perfume regret You got me thinking 'bout when you were mine And now I'm all up on ya, what you expect? But you're not coming home with me tonight  You just want attention You don't want my heart Maybe you just hate the thought of me with someone new Yeah, you just want attention I knew from the start You're just making sure I'm never gettin' over you, over you  What are you doin' to me? (hey) What are you doin', huh? (what are you doin', what?) What are you doin' to me? What are you doin', huh? (yeah, you just want attention) What are you doin' to me? (I knew from the start) What are you doin', huh? (You're just making sure I'm never gettin' over you) What are you doin' to me? What are you doin', huh? ",Attention 
Charlie Puth ,"   Told you I'm moving out to bigger and better things Guess you never know what good you got until it's gone Thought I could find somebody new who could take your place The list goes on and on and on  There was Nicky, Nicole, Tiffany and Heather But there's only room for you in my world But you say that I change like the East Coast weather How the hell did I get caught up messing with these LA girls  (I miss my baby, I miss my baby) LA girls (I miss my baby) Messing with these LA girls  Boy, I miss the days we'd take a Greyhound in NYC Wish I could've seen that it was perfect how it was Listen, I don't want this to be the way you remember me 'Cause I know I was wrong, wrong  There was Nicky, Nicole, Tiffany and Heather But there's only room for you in my world (only you my world) But you say that I change like the East Coast weather How the hell did I get caught up messing with these LA girls  (I miss my baby) My baby (I miss my baby) LA girls (I miss my baby) Here we go, messing with these LA girls (I miss my baby) Baby (I miss my baby) LA girls (I miss my baby) Here we go, messing with these LA girls  One, two, three, talk to me like A-ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh-ooh-ooh Ooh-ooh-ooh, ooh-ooh-ooh, quit messing with me baby Ooh-ooh-ooh, ooh-ooh-ooh, yeah, ooh-ooh-ooh, ooh-ooh-ooh-ooh-ooh, oh baby Ooh-ooh-ooh, ooh-ooh-ooh  There was Nicky, Nicole, Tiffany and Heather But there's only room for you in my world (only you my world) But you say that I change like the East Coast weather How the hell did I get caught up messing with these LA girls  (I miss my baby, baby) (I miss my baby) LA girls (I miss my baby, baby) Messing with these LA girls I'm missing my baby (I miss my baby) Baby (I miss my baby) LA girls (I miss my baby, baby) Messing with these LA girls  (Ooh-ooh-ooh, ooh-ooh-ooh) I miss my baby (Ooh-ooh-ooh, ooh-ooh-ooh-ooh-ooh) I miss my baby, LA girls (Ooh-ooh-ooh, ooh-ooh-ooh) I miss my baby (Ooh-ooh-ooh, ooh-ooh-ooh-ooh-ooh) Oh, oh, these LA girls (Ooh-ooh-ooh, ooh-ooh-ooh) I miss my baby (Ooh-ooh-ooh, ooh-ooh-ooh-ooh-ooh) I miss my baby, LA girls (Ooh-ooh-ooh, ooh-ooh-ooh) I miss my baby Messing with these LA girls ",LA Girls 
Charlie Puth ,"   Alright  I'll admit, I was wrong What else can I say, girl? Can't you blame my head and not my heart? I was drunk, I was gone, that don't make it right, but Promise there were no feelings involved  She said, ""Boy, tell me honestly Was it real or just for show?"" Yeah She said, ""Save your apologies Baby, I just gotta know""  How long has this been going on? You've been creeping 'round on me While you're calling me ""baby"" How long has this been going on? You've been acting so shady I've been feeling it lately, baby  I'll admit, it's my fault But you gotta believe me When I say it only happened once I try and I try, but you'll never see that You're the only one I wanna love, ooh, yeah  She said, ""Boy, tell me honestly Was it real or just for show?"" She said, ""Save your apologies Baby, I just gotta know""  How long has this been going on? You've been creeping 'round on me While you're calling me ""baby"" How long has this been going on? You've been acting so shady I've been feeling it lately, baby  How long has it been going on, baby? You gotta go tell me now  She said, ""Boy, tell me honestly Was it real or just for show?"" Yeah She said, ""Save your apologies Baby, I just gotta know""  How long has this been going on?  You've been creeping 'round on me While you're calling me ""baby"" How long has this been going on? You've been acting so shady I've been feeling it lately, baby How long has this been going on? You've been creeping 'round on me (How long has it been going on, baby?) How long has this been going on? (You gotta go tell me now) You've been acting so shady I've been feeling it lately, baby ",How Long 
Charlie Puth ,"  [Charlie Puth:] What you thinking? You think that you could be better off with somebody new (No oh oh baby, no) You say you're leaving Well if you wanna leave there ain't nobody stopping you (No oh oh baby, no)  I won't beg for your love, won't say please I won't fall to the ground on my knees You know I've given this everything Baby, honestly Baby, honestly  I lie for you baby Die for you baby Cry for you baby But tell me what you've done for me For you baby And only you baby The things I do baby But tell me what you've done for me  [Kehlani:] I never cheated Deleted everyone 'cause they made you uncomfortable (No oh oh baby, no) These accusations I can't apologize for something that I didn't do (No oh oh baby, no)  [Kehlani (Charlie Puth):] I won't beg for your love, won't say please (I won't say please) I won't fall to the ground on my knees (on my knees) You know I've given this everything (oh oh) Baby, honestly (baby, honestly) Baby, honestly (oh oh)  [Charlie Puth:] I lie for you baby Die for you baby Cry for you baby But tell me what you've done for me For you baby And only you baby The things I do baby But tell me what you've done for me  (Tell me what you've done for me) Oh tell me what you've done for me (Oh tell me what you've done for me) Oh tell me what you've done for me  [Both:] You know I've given this everything Baby, honestly Tell me what you've done for me  [Charlie Puth and Kehlani:] I lie for you baby Die for you baby Cry for you baby But tell me what you've done for me For you baby And only you baby The things I do baby (oh) The things I do, baby (But tell me) But tell me what you've done for me  [Charlie Puth:] (Tell me what you've done for me) Oh tell me what you've done for me (Oh tell me what you've done for me) Oh tell me what you've done for me ",Done For Me 
Charlie Puth ,"   These mistakes I made my fair share When you needed me, I wasn't there I was young, I was dumb, I was so immature And the things that I did made you so insecure But baby I'm still your man I swear  Please be patient with me Please be patient with me I know I'm not what you need But baby I'm gonna be So please be patient with me  Is it too much that I'm asking for Can we start over, can we end this war I've been taking your love, I've been wasting your time But is there still a chance of me changing your mind Before you go walking out the door  Oh you know I'm not perfect If you leave I deserve it But baby all I'm asking you is please, please  Please be patient with me Please be patient with me I know I'm not what you need But baby I'm gonna be So please be patient with me  Oh you don't wanna wait another minute You don't wanna wait another night Just trust me, just trust me Just trust me baby You don't wanna wait another minute No, you don't wanna wait another night Just trust me, just trust me Just trust me baby  Please be patient with me Please be patient with me I know I'm not what you need But baby I'm gonna be so Please be patient with me  Please be patient with me Please be patient with me, yeah I know I'm not what you need But baby I'm gonna be so Please be patient with me ",Patient 
Charlie Puth ,"  [Charlie Puth:] No, this is not goodbye I swear that I'm gonna change No, baby, please don't cry It doesn't have to end this way  'Cause when I think of all the nights I'll be alone I get terrified Please don't say goodbye  'Cause girl, if you leave me now If you give it up and just walk right out You will take the biggest part of me And all the things that I believe Baby, if you leave me now (yeah)  [Boyz II Men:] When did we lose our way? My whole world was unraveling And girls driving me insane There's no road worth traveling  [Charlie Puth & Boyz II Men:] When I think about all of the nights you're gone (nights you're gone, oh) I get terrified (I get terrified) Please don't say goodbye (bye)  'Cause girl, if you leave me now If you give it up and just walk right out (oh) You will take the biggest part of me And all the things that I believe Baby, if you leave me now Oh, baby, if you leave me now  [Charlie Puth:] Oh, I can promise if we parted (parted) And if you left me brokenhearted Every single night, I'll think about you with someone else Baby, if you leave me  [Charlie Puth & Boyz II Men:] Baby, if you leave me now If you give it up and just walk right out (oh) You will take the biggest part of me And all the things that I believe Baby if you leave me now Oh girl, if you leave me now If you give it up and just walk right out You will take the biggest part of me And all the things that I believe Baby, if you leave me now Oh, baby, if you leave me now ",If You Leave Me Now 
Charlie Puth ,"   (I got) These girls tryna lock me down and I always up and leave But for the first time in a while I wanna throw away the key (And I know) You've been in a couple more relationships than me Cause you talk a different talk And you kiss me differently  Now I don't know where to go After you love me this way After you love me so good How are you gonna tell me you don't wanna stay  You tell me I'm too young but I gave you what you wanted Baby, how dare you treat me just like Like a boy You won't wake up beside me Cause I was born in the nineties Baby, how dare you treat me just like Like a boy (Don't you treat me like) Boy (Don't you treat me like) Woooh (Ah!) Woooh  (You told me) You needed a perfect guy that will make your parents proud Guess you still ain't found him yet (Why?) 'Cause we still messin' around (uh) (And now you) Watch me put in all this work just to say it won't work out (work out) You never took me seriously (took me seriously) Now what the hell is that about?  Now I don't know where to go (After you love me this) After you love me this way (After you love me so) After you love me so good (How are you gonna) Tell me you don't wanna stay  You tell me I'm too young but (young but) I gave you what you wanted (wanted) Baby, how dare you treat me just like Like a boy You won't wake up beside me (beside me) Cause I was born in the nineties (in the nineties) Baby, how dare you treat me just like (just like) Like a boy (Don't you treat me like) Boy (Don't you treat me like) Woooh (Ah!) Woooh (Baby, don't you treat me like a boy) Boy (Don't you treat me like) Boy (Don't you treat me like) Woooh (Ah!) Woooh  You tell me I'm too young but (young but) I gave you what you wanted (what you wanted) Baby, how dare you treat me just like Like a boy You won't wake up beside me (beside me) Cause I was born in the nineties (in the nineties) Baby, how dare you treat me just like Like a boy (Don't you treat me like) Boy (Don't you treat me like) Woooh Woooh (Baby, don't you treat me like a boy) Boy (Don't you treat me like) Boy (Don't you treat me like) Woooh Woooh  Just like, like a boy Just like, like a boy ",BOY 
Charlie Puth ,"   I got a situation, this girl been stressin' me Sayin' she better be the only one My life is complicated, she's only 23 I'm not the guy that she's supposed to love  Oh, the more that I tell her I'm not stayin' over The harder she makes it to go Oh, the more that I try to convince her this won't work The faster she takes off her clothes  Girl, you gotta slow it down (girl, you gotta slow it down) I'm not tryna fall for you Girl, you gotta slow it down (girl, you gotta slow it down) I can't give it all to you Even though I want to  She knows just what she doin', she fuckin' with my head Wrappin' her legs so tight around my waist Two in the afternoon, but, we still ain't out of bed No matter what, she always gets her way  Oh, the more that I tell her I'm not stayin' over (whoa) The harder she makes it to go (you make it so hard) Oh, the more that I try to convince her this won't work (oh) The faster she takes off her clothes  Girl, you gotta slow it down (girl, you gotta slow it down) I'm not tryna fall for you Girl, you gotta slow it down (girl, you gotta slow it down) I can't give it all to you Even though I want to Even though I want to, oh, yeah  You've got to slow it, slow it down, baby You've got to slow it down You don't know what you're doin' to me now You've got to slow it, slow it down, baby Oh You've got to slow it down Oh  Girl, you gotta slow it down (girl, you gotta slow it down) I'm not tryna fall for you (I'm not tryna fall, baby) Girl, you gotta slow it down (girl, you gotta slow it down) I can't give it all to you Even though I want to Girl, you gotta slow it down, yeah, yeah ",Slow It Down 
Charlie Puth ,"   Why are we looking down On our sisters and brothers? Isn't love, all that we got? Don't we know everyone's Got a father and mother? The day we know we're all the same Together we can make that change  Look around there are too many of us crying Not enough love to go around What a waste of another day Another good one dying But I know that the world will change The day we know we're all the same  Why can't we just get along? If loving one another's wrong Then how are we supposed to Get close to each other? We gotta make that change, yeah Why can't we just get along?  What a waste it would be to deny somebody Of a chance to be their selves What a waste it would be if we hurt for nothing? But I know that the world can change The day we know we're all the same  Why can't we just get along? If loving one another's wrong Then how are we supposed to Get close to each other? We gotta make that change, yeah  I know we could break apart We don't have to go that way Not today  Why can't we just get along? If loving one another's wrong Then how are we supposed to Get close to yeah Why can't we just get along? If loving one another's wrong Then how are we supposed to Get close to each other? We gotta make that change, yeah  The change, yeah ",Change 
Charlie Puth ,"   I was just with you on your birthday And I met your whole family But on the way home you kept looking at your phone Couldn't help but ask ""Who is that babe?"" And the way you said ""Nobody"" I knew the rumors, they were more than just rumors  Maybe I should have noticed You were just half in love Maybe I should have noticed That I'm not the only one  Somebody told me that you Got another lover you've been giving it to Can't believe I believed you, you were my girl Somebody saw you with him Now you're tryna tell me that he's only a friend Can't believe I believed that you were my girl  (Ooh, ooh) (Ooh, ooh-ooh-ooh)  Lately you've been making excuses And the stories ain't adding up But I just go blind when you look into my eyes Every time that I tried to confront you There's always somewhere you've gotta run to The warning signs, they were more than just warning signs  Maybe I should have noticed You were just half in love Maybe I should have noticed That I'm not the only one  ('Cause) Somebody told me that you Got another lover you've been giving it to Can't believe I believed you, you were my girl Somebody saw you with him Now you're tryna tell me that he's only a friend Can't believe I believed that you were my girl  (Ooh, ooh) (Ooh, ooh-ooh-ooh) You were my girl  Maybe I should have noticed You were just half in love (You were just half in love) Maybe I should have noticed That I'm not the only one (You were my girl)  Yeah Maybe I should have noticed That I'm not the only one  Somebody told me that you Got another lover you've been giving it to Can't believe I believed you, you were my girl Somebody saw you with him Now you're tryna tell me that he's only a friend Can't believe I believed that you were my girl (That you were mine)  (Ooh, ooh) (Ooh, ooh-ooh-ooh) You were my girl  Maybe I should have noticed You were just half in love (You were half in love) Maybe I should have noticed That I'm not the only one (You were my girl) ",Somebody Told Me 
Charlie Puth ,"   Ooh, the way that you dance on me makes me not wanna leave You wanna go upstairs but you don't wanna sleep All right now, we're in the rhythm Your boyfriend's no competition Turn off your phone and blame it on your battery Hey!  Oh oh oh oh, we're gettin' real real close Oh oh oh oh, can't let this moment go  Hands on your body like there's no one at the party, just me and you And these empty cups If you wanna like I wanna, let me take it to another room So it's only us Turn that television up So nobody can listen Hands on your body like there's no one at the party, just me and you And these empty cups  Ooh, girl do you think they'll notice if we slip away Maybe tomorrow they'll all have something to say All right now, we're in the rhythm We don't need no one's permission End of the night don't mean we gotta separate, whoa  Oh oh oh oh, we're gettin' real real close Oh oh oh oh, can't let this moment go  Hands on your body like there's no one at the party, just me and you (me and you) And these empty cups If you wanna like I wanna, let me take it to another room (another room) So it's only us Turn that television up So nobody can listen Hands on your body like there's no one at the party, just me and you (me and you) And these empty cups  All of these empty cups, baby All of these empty cups  Oh oh oh oh, we're gettin' real real close Oh oh oh oh, can't let this moment go  Hands on your body like there's no one at the party, just me and you (me and you) And these empty cups If you wanna like I wanna, let me take it to another room (another room) So it's only us Turn that television up So nobody can listen Hands on your body like there's no one at the party, just me and you (me and you) And these empty cups  Hands on your body like there's no one at the party, just me and you And these empty cups If you wanna like I wanna, let me take it to another room (oh baby) Like it's only us Turn that television up So nobody can listen Hands on your body like there's no one at the party, just me and you And these empty cups ",Empty Cups 
Charlie Puth ,"   You could say I lived a crazy life for a man so young The kind that made me question my faith Now I'm looking back just wondering where the time has gone But I guess it's just the price you pay  I've already loved more than I thought I could love someone I've already felt my heart break, yeah I've already fell so many times but I got back up But at least I did it all my way  I've been through it all Yeah, I've been through it all, yeah You won't see me crying if tomorrow never comes God only knows, I've been through it all  Growing up in this wild city you had to fight or run Now you know why I'm not afraid, yeah Maybe it's my recklessness that got me in trouble But at least I did it all my way  I've been through it all Yeah, I've been through it all, yeah You won't see me crying if tomorrow never comes God only knows, I've been through it all  Ooh, ooh-ooh, ooh-ooh, ooh-ooh Yeah, I've been through it all Ooh, ooh-ooh, ooh-ooh, ooh-ooh Yeah, yeah, oh, mmh-mmh, mmh-mmh  I've been through it all Yeah, I've been through it all, yeah You won't see me crying if tomorrow never comes God only knows, I've been through it all You won't see me crying if tomorrow never comes God only knows, I've been through it all ",Through It All 
Charlie Puth ,"   Look how all the tables Look how all the tables have turned Guess you're finally realizing how bad you messed it up Girl, you're only makin' Girl, you're only makin' it worse When you call like you always do when you want someone  You took away a year Of my fuckin' life And I can't get it back no more So when I see those tears Comin' out your eyes I hope it's me they're for  You didn't love when you had me But now, you need me so badly You can't be serious (Ha-ha-ha) That's hilarious (Ha-ha-ha-ha-ha) Thinkin' I would still want you After the things you put me through Yeah, you're delirious (Ha-ha-ha) That's hilarious (Ha-ha-ha-ha-ha)  Now you put the blame in Now you put the blame in reverse Tryna make me feel guilty for everything you've done You're another lesson (You're another lesson) You're just another lesson I learned Don't give your heart to a girl who's still got a broken one  You took away a year Of my fuckin' life And I can't get it back no more So when I see those tears (When I see those tears) Comin' out your eyes I hope it's me they're for  You didn't love when you had me But now, you need me so badly You can't be serious (Ha-ha-ha) That's hilarious (Ha-ha-ha-ha-ha) Thinkin' I would still want you After the things you put me through Yeah, you're delirious (Ha-ha-ha, you're delirious) That's hilarious (Ha-ha-ha-ha-ha, that's hilarious) You didn't love when you had me But now, you need me so badly You can't be serious (You can't be serious) (Ha-ha-ha) That's hilarious (That's hilarious) (Ha-ha-ha-ha-ha) Thinkin' I would still want you (Oh, no, oh, oh) After the things you put me through Yeah, you're delirious (You're delirious) (Ha-ha-ha) That's hilarious (That's hilarious) (Ha-ha-ha-ha-ha)  Ha-ha-ha Ha-ha-ha-ha-ha ",That's Hilarious 
Charlie Puth ,"   Charlie, be quiet, don't make a sound You got to lower the noise a little bit now If she knows you're in love, she's gonna run, run away  I'm not making the same mistake Won't be putting my heart on display I'll just water my feelings down I'm not going out looking dumb Telling all my friends how you're the one Those words never leaving my mouth But the feeling gets  Stronger, baby What am I gonna do now When you touch me? 'Cause it's all getting too loud  Charlie, be quiet, don't make a sound You got to lower the noise a little bit now If she knows you're in love, she's gonna run, run away Charlie, be quiet, don't make a sound You got to lower the noise a little bit now If she knows you're in love, she's gonna run, run away  I'm not gonna do more than like Won't be sleeping over every night I'll act like I don't even care, yeah I'm not going out looking dumb Telling all my friends I've found someone Then waking up without you there But the feeling gets  Stronger, baby What am I gonna do now When you touch me? 'Cause it's all getting too loud  Charlie, be quiet, don't make a sound You got to lower the noise a little bit now If she knows you're in love, she's gonna run, run away Charlie, be quiet, don't make a sound You got to lower the noise a little bit now If she knows you're in love, she's gonna run, run away  If she knows you're in love, she's gonna run, run away ",Charlie Be Quiet! 
Charlie Puth ,"   Yeah  Why you callin' at 11:30 When you only wanna do me dirty? But I hit right back 'Cause you got that-that, yeah Why you always wanna act like lovers But you never wanna be each others'? I say, ""Don't look back"" But I go right back and  All the sudden, I'm hypnotized You're the one that I can't deny Every time that I say I'm gonna walk away  You turn me on like a light switch When you're movin' your body around and around Now, I don't wanna fight this (No) You know how to just make me want You turn me on like a light switch When you're movin' your body around and around You got me in a tight grip (Yeah) You know how to just make me want you, baby  Do you love it when you keep me guessin' (Me guessin') When you're leaving then you leave me stressin'? (Me stressin') But I can't stay mad when you walk like that, no Why you always wanna act like lovers? But you never wanna be each others' I say, ""Don't look back"" But I go right back and  All the sudden, I'm hypnotized (Hypnotized) You're the one that I can't deny (Can't deny) Every time that I say I'm gonna walk away (Yeah)  You turn me on like a light switch When you're movin' your body around and around Now, I don't wanna fight this (No) You know how to just make me want You turn me on like a light switch (Switch) When you're movin' your body around and around You got me in a tight grip (Grip) You know how to just make me want you, baby  Come on, come on, come on, come on, come on and show me how you do (You do) You want, you want, you want, you want, you wanna keep me wantin' you (Me wantin' you, girl) Come on, come on, come on, come on, come on and (Hey), show me how you do (How you do) You want, you want, you want, you want, you wanna keep me wantin' you  You turn me on like a light switch When you're movin' your body around and around Now, I don't wanna fight this You know how to just make me want to  You turn me on like a light switch When you're movin' your body around and around You got me in a tight grip You know how to just make me want you, baby  Come on, come on, come on, come on, come on and show me how you do (How you do) You want, you want, you want, you want, you wanna keep me wantin' you (Wanna keep me wantin' you, baby) Come on, come on, come on, come on, come on and show me how you do (You do) You want, you want, you want, you want, you wanna keep me wantin' you ",Light Switch 
Charlie Puth ,"   Never thought that I would actually miss you Never thought that I'd be dying to kiss you But maybe there's a first time for everything Thinking 'bout you really mess with my heartbeat Never thought that I would cry for somebody But maybe there's a first time for everything  Saw her on the TV Had the bleach pink hair with the ripped jeans And I thought, ""What if I could meet her in real life?"" (Yeah) I found out that we shared friends So she came to the house on the weekend And what I had in my head happened later that night (Yeah)  All I need is one little memory To make all these feelings come back up, yeah  Never thought that I would actually miss you Never thought that I'd be dying to kiss you But maybe there's a first time for everything Thinking 'bout you really mess with my heartbeat Never thought that I would cry for somebody But maybe there's a first time for everything  Stayed up, late night We were trying our best to pretend like That when the party's done, we'll go our separate ways But we knew, yeah, we knew Pretty soon, it would be only us two Then after what we did, I'd never be the same (Yeah)  All I need is one little memory (I need, oh) To make all these feelings come back up, yeah  Never thought that I would actually miss you, no Never thought that I'd be dying to kiss you But maybe there's a first time for everything Thinking 'bout you really mess with my heartbeat (Mess with my heartbeat) Never thought that I would cry for somebody (Oh) But maybe there's a first time for everything, yeah Maybe there's a first time for everything ",There's A First Time For Everything 
